,日期,天气状况,气温,风力风向
745,2013年01月15日,多云/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
746,2013年01月16日,晴/晴,1℃/-9℃,无持续风向≤3级/无持续风向≤3级
747,2013年01月17日,晴/晴,2℃/-8℃,无持续风向≤3级/无持续风向≤3级
748,2013年01月18日,晴/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
749,2013年01月19日,雾/中雪,2℃/-4℃,无持续风向≤3级/无持续风向≤3级
750,2013年01月20日,中雪/小雪,-2℃/-6℃,无持续风向≤3级/无持续风向≤3级
751,2013年01月21日,多云/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
752,2013年01月22日,晴/雾,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
753,2013年01月23日,雾/晴,1℃/-6℃,无持续风向≤3级/北风4-5级
754,2013年01月24日,晴/晴,3℃/-9℃,北风3-4级/无持续风向≤3级
755,2013年01月25日,晴/晴,-1℃/-8℃,无持续风向≤3级/无持续风向≤3级
756,2013年01月26日,晴/晴,1℃/-8℃,无持续风向≤3级/无持续风向≤3级
757,2013年01月27日,晴/雾,2℃/-6℃,无持续风向≤3级/无持续风向≤3级
758,2013年01月28日,雾/雾,4℃/-5℃,无持续风向≤3级/无持续风向≤3级
759,2013年01月29日,雾/雾,3℃/-4℃,无持续风向≤3级/无持续风向≤3级
760,2013年01月30日,雾/小雪,0℃/-3℃,无持续风向≤3级/无持续风向≤3级
761,2013年01月31日,小雪/小雪,0℃/-3℃,无持续风向≤3级/北风3-4级
762,2013年02月01日,晴/晴,4℃/-8℃,北风3-4级/无持续风向≤3级
763,2013年02月02日,晴/小雪,2℃/-6℃,无持续风向≤3级/无持续风向≤3级
764,2013年02月03日,小雪/雾,0℃/-5℃,无持续风向≤3级/北风3-4级
765,2013年02月04日,晴/小雪,2℃/-7℃,北风3-4级/无持续风向≤3级
766,2013年02月05日,小雪/晴,2℃/-6℃,无持续风向≤3级/无持续风向≤3级
767,2013年02月06日,晴/晴,2℃/-11℃,北风4-5级/北风5-6级
768,2013年02月07日,晴/晴,-3℃/-12℃,北风3-4级/无持续风向≤3级
769,2013年02月08日,晴/多云,-2℃/-9℃,无持续风向≤3级/无持续风向≤3级
770,2013年02月09日,多云/多云,0℃/-6℃,无持续风向≤3级/无持续风向≤3级
771,2013年02月10日,多云/阴,-1℃/-6℃,无持续风向≤3级/无持续风向≤3级
772,2013年02月11日,小雪/小雪,-1℃/-6℃,无持续风向≤3级/无持续风向≤3级
773,2013年02月12日,晴/晴,2℃/-7℃,北风3-4级/无持续风向≤3级
774,2013年02月13日,晴/多云,6℃/-4℃,无持续风向≤3级/无持续风向≤3级
775,2013年02月14日,阴/晴,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
776,2013年02月15日,晴/多云,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
777,2013年02月16日,多云/多云,4℃/-4℃,无持续风向≤3级/无持续风向≤3级
778,2013年02月17日,多云/阴,7℃/-4℃,北风4-5级/无持续风向≤3级
779,2013年02月18日,多云/晴,3℃/-8℃,北风3-4级/无持续风向≤3级
780,2013年02月19日,晴/多云,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
781,2013年02月20日,晴/晴,5℃/-7℃,无持续风向≤3级/无持续风向≤3级
782,2013年02月21日,晴/晴,6℃/-3℃,无持续风向≤3级/无持续风向≤3级
783,2013年02月22日,晴/晴,7℃/-4℃,无持续风向≤3级/无持续风向≤3级
784,2013年02月23日,晴/多云,9℃/-2℃,无持续风向≤3级/无持续风向≤3级
785,2013年02月24日,多云/小雪,6℃/-3℃,无持续风向≤3级/无持续风向≤3级
786,2013年02月25日,小雪/阴,1℃/-5℃,无持续风向≤3级/无持续风向≤3级
787,2013年02月26日,晴/晴,9℃/-3℃,无持续风向≤3级/无持续风向≤3级
788,2013年02月27日,阴/阴,11℃/2℃,无持续风向≤3级/无持续风向≤3级
789,2013年02月28日,雾/晴,14℃/-3℃,北风6-7级/北风4-5级
790,2013年03月01日,晴/晴,7℃/-5℃,北风3-4级/无持续风向≤3级
791,2013年03月02日,多云/多云,7℃/-4℃,无持续风向≤3级/无持续风向≤3级
792,2013年03月03日,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
793,2013年03月04日,晴/晴,15℃/2℃,无持续风向≤3级/无持续风向≤3级
794,2013年03月05日,晴/多云,16℃/4℃,无持续风向≤3级/无持续风向≤3级
795,2013年03月06日,多云/晴,15℃/2℃,无持续风向≤3级/无持续风向≤3级
796,2013年03月07日,多云/多云,16℃/4℃,无持续风向≤3级/无持续风向≤3级
797,2013年03月08日,多云/阴,19℃/5℃,南风3-4级/无持续风向≤3级
798,2013年03月09日,扬沙/晴,16℃/-2℃,北风5-6级/北风4-5级
799,2013年03月10日,晴/晴,10℃/-2℃,无持续风向≤3级/无持续风向≤3级
800,2013年03月11日,多云/小雨,13℃/4℃,无持续风向≤3级/无持续风向≤3级
801,2013年03月12日,小雨/多云,9℃/-1℃,北风3-4级/无持续风向≤3级
802,2013年03月13日,晴/晴,9℃/-2℃,无持续风向≤3级/无持续风向≤3级
803,2013年03月14日,晴/晴,11℃/0℃,无持续风向≤3级/无持续风向≤3级
804,2013年03月15日,晴/多云,13℃/3℃,无持续风向≤3级/无持续风向≤3级
805,2013年03月16日,多云/小雨,14℃/5℃,无持续风向≤3级/无持续风向≤3级
806,2013年03月17日,多云/-,19℃/6℃,无持续风向≤3级/无持续风向
807,2013年03月18日,多云/阴,11℃/2℃,北风3-4级/无持续风向≤3级
808,2013年03月19日,中雪/小雪,4℃/-3℃,无持续风向≤3级/无持续风向≤3级
809,2013年03月20日,多云/晴,8℃/0℃,无持续风向≤3级/无持续风向≤3级
810,2013年03月21日,多云/多云,14℃/2℃,无持续风向≤3级/北风3-4级
811,2013年03月22日,晴/晴,11℃/1℃,无持续风向≤3级/南风3-4级
812,2013年03月23日,阴/晴,13℃/-1℃,北风4-5级/北风4-5级
813,2013年03月24日,晴/晴,11℃/-2℃,无持续风向≤3级/无持续风向≤3级
814,2013年03月25日,晴/晴,11℃/1℃,无持续风向≤3级/无持续风向≤3级
815,2013年03月26日,晴/-,15℃/4℃,无持续风向≤3级/无持续风向
816,2013年03月27日,阴/晴,17℃/3℃,北风3-4级/北风3-4级
817,2013年03月28日,多云/晴,11℃/-1℃,无持续风向≤3级/无持续风向≤3级
818,2013年03月29日,阴/雨夹雪,11℃/1℃,无持续风向≤3级/无持续风向≤3级
819,2013年03月30日,阴/多云,10℃/2℃,无持续风向≤3级/无持续风向≤3级
820,2013年03月31日,阴/小雨,13℃/5℃,无持续风向≤3级/北风3-4级
821,2013年04月01日,多云/晴,16℃/0℃,北风4-5级/北风3-4级
822,2013年04月02日,晴/晴,19℃/5℃,无持续风向≤3级/无持续风向≤3级
823,2013年04月03日,多云/多云,16℃/5℃,无持续风向≤3级/无持续风向≤3级
824,2013年04月04日,小雨/小雨,13℃/6℃,无持续风向≤3级/无持续风向≤3级
825,2013年04月05日,阴/晴,13℃/2℃,北风4-5级/北风3-4级
826,2013年04月06日,晴/晴,14℃/2℃,无持续风向≤3级/无持续风向≤3级
827,2013年04月07日,阴/阴,15℃/6℃,无持续风向≤3级/北风3-4级
828,2013年04月08日,晴/多云,13℃/4℃,北风5-6级/北风4-5级
829,2013年04月09日,多云/多云,13℃/4℃,北风4-5级/北风3-4级
830,2013年04月10日,多云/晴,14℃/2℃,北风3-4级/无持续风向≤3级
831,2013年04月11日,晴/晴,17℃/2℃,北风3-4级/无持续风向≤3级
832,2013年04月12日,晴/多云,22℃/8℃,无持续风向≤3级/无持续风向≤3级
833,2013年04月13日,多云/多云,23℃/6℃,北风4-5级/北风4-5级
834,2013年04月14日,晴/晴,16℃/5℃,无持续风向≤3级/无持续风向≤3级
835,2013年04月15日,晴/阴,20℃/7℃,南风3-4级/北风3-4级
836,2013年04月16日,晴/晴,20℃/5℃,北风3-4级/无持续风向≤3级
837,2013年04月17日,多云/多云,18℃/8℃,无持续风向≤3级/北风4-5级
838,2013年04月18日,晴/阴,15℃/5℃,北风3-4级/无持续风向≤3级
839,2013年04月19日,阴/阴,8℃/2℃,无持续风向≤3级/无持续风向≤3级
840,2013年04月20日,晴/晴,16℃/5℃,无持续风向≤3级/无持续风向≤3级
841,2013年04月21日,多云/多云,18℃/7℃,无持续风向≤3级/无持续风向≤3级
842,2013年04月22日,多云/雾,19℃/9℃,南风3-4级/无持续风向≤3级
843,2013年04月23日,阵雨/多云,17℃/8℃,无持续风向≤3级/无持续风向≤3级
844,2013年04月24日,晴/多云,23℃/10℃,北风3-4级/北风3-4级
845,2013年04月25日,晴/晴,23℃/8℃,北风3-4级/无持续风向≤3级
846,2013年04月26日,多云/多云,23℃/9℃,无持续风向≤3级/无持续风向≤3级
847,2013年04月27日,多云/阴,22℃/11℃,无持续风向≤3级/无持续风向≤3级
848,2013年04月28日,阵雨/多云,19℃/11℃,无持续风向≤3级/北风3-4级
849,2013年04月29日,晴/晴,27℃/13℃,北风4-5级/北风3-4级
850,2013年04月30日,晴/晴,27℃/10℃,北风3-4级/无持续风向≤3级
851,2013年05月01日,晴/多云,25℃/12℃,无持续风向≤3级/无持续风向≤3级
852,2013年05月02日,多云/阴,23℃/11℃,南风3-4级/无持续风向≤3级
853,2013年05月03日,阴/晴,23℃/12℃,无持续风向≤3级/无持续风向≤3级
854,2013年05月04日,多云/晴,27℃/13℃,无持续风向≤3级/无持续风向≤3级
855,2013年05月05日,晴/晴,30℃/16℃,无持续风向≤3级/无持续风向≤3级
856,2013年05月06日,晴/-,30℃/17℃,无持续风向≤3级/无持续风向
857,2013年05月07日,多云/多云,30℃/17℃,南风3-4级/无持续风向≤3级
858,2013年05月08日,阴/阵雨,26℃/16℃,南风3-4级/无持续风向≤3级
859,2013年05月09日,阵雨/阴,22℃/14℃,无持续风向≤3级/北风3-4级
860,2013年05月10日,晴/晴,30℃/14℃,北风3-4级/无持续风向≤3级
861,2013年05月11日,多云/晴,33℃/16℃,北风3-4级/无持续风向≤3级
862,2013年05月12日,晴/多云,30℃/16℃,无持续风向≤3级/无持续风向≤3级
863,2013年05月13日,阴/多云,28℃/18℃,无持续风向≤3级/北风3-4级
864,2013年05月14日,晴/晴,30℃/14℃,北风3-4级/无持续风向≤3级
865,2013年05月15日,晴/多云,29℃/15℃,无持续风向≤3级/无持续风向≤3级
866,2013年05月16日,多云/阴,25℃/16℃,无持续风向≤3级/无持续风向≤3级
867,2013年05月17日,阴/晴,26℃/16℃,无持续风向≤3级/无持续风向≤3级
868,2013年05月18日,多云/雷阵雨,29℃/17℃,南风3-4级/无持续风向≤3级
869,2013年05月19日,晴/晴,27℃/14℃,北风4-5级/北风3-4级
870,2013年05月20日,晴/多云,31℃/18℃,南风3-4级/无持续风向≤3级
871,2013年05月21日,多云/阴,31℃/18℃,无持续风向≤3级/无持续风向≤3级
872,2013年05月22日,多云/多云,28℃/17℃,南风3-4级/无持续风向≤3级
873,2013年05月23日,多云/阴,29℃/19℃,南风3-4级/无持续风向≤3级
874,2013年05月24日,阵雨/阴,28℃/17℃,无持续风向≤3级/无持续风向≤3级
875,2013年05月25日,阴/阴,28℃/17℃,无持续风向≤3级/无持续风向≤3级
876,2013年05月26日,小到中雨/小雨,23℃/17℃,无持续风向≤3级/无持续风向≤3级
877,2013年05月27日,阴/阴,26℃/17℃,无持续风向≤3级/无持续风向≤3级
878,2013年05月28日,阵雨/多云,24℃/17℃,无持续风向≤3级/北风3-4级
879,2013年05月29日,晴/晴,30℃/15℃,无持续风向≤3级/无持续风向≤3级
880,2013年05月30日,晴/晴,33℃/19℃,南风3-4级/南风3-4级
881,2013年05月31日,多云/多云,32℃/19℃,无持续风向≤3级/无持续风向≤3级
882,2013年06月01日,多云/多云,30℃/18℃,无持续风向≤3级/无持续风向≤3级
883,2013年06月02日,雷阵雨/阵雨,29℃/18℃,无持续风向≤3级/无持续风向≤3级
884,2013年06月03日,晴/多云,32℃/19℃,无持续风向≤3级/无持续风向≤3级
885,2013年06月04日,阴/阵雨,29℃/18℃,无持续风向≤3级/无持续风向≤3级
886,2013年06月05日,小雨/雾,28℃/19℃,无持续风向≤3级/无持续风向≤3级
887,2013年06月06日,雾/小雨,23℃/19℃,无持续风向≤3级/无持续风向≤3级
888,2013年06月07日,小雨/阵雨,24℃/19℃,无持续风向≤3级/无持续风向≤3级
889,2013年06月08日,阵雨/中到大雨,23℃/18℃,无持续风向≤3级/无持续风向≤3级
890,2013年06月09日,小到中雨/小雨,21℃/16℃,无持续风向≤3级/无持续风向≤3级
891,2013年06月10日,阴/多云,25℃/15℃,无持续风向≤3级/无持续风向≤3级
892,2013年06月11日,多云/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
893,2013年06月12日,晴/多云,29℃/17℃,无持续风向≤3级/无持续风向≤3级
894,2013年06月13日,多云/多云,30℃/21℃,南风3-4级/无持续风向≤3级
895,2013年06月14日,多云/多云,30℃/21℃,南风3-4级/无持续风向≤3级
896,2013年06月15日,多云/多云,33℃/22℃,南风3-4级/无持续风向≤3级
897,2013年06月16日,雷阵雨/小到中雨,29℃/20℃,无持续风向≤3级/无持续风向≤3级
898,2013年06月17日,阴/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级
899,2013年06月18日,阴/多云,33℃/22℃,无持续风向≤3级/无持续风向≤3级
900,2013年06月19日,晴/晴,34℃/23℃,无持续风向≤3级/无持续风向≤3级
901,2013年06月20日,多云/阴,32℃/23℃,无持续风向≤3级/无持续风向≤3级
902,2013年06月21日,多云/阴,30℃/22℃,无持续风向≤3级/无持续风向≤3级
903,2013年06月22日,小雨/阴,25℃/20℃,南风3-4级/无持续风向≤3级
904,2013年06月23日,多云/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
905,2013年06月24日,雷阵雨/雷阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
906,2013年06月25日,雷阵雨/雷阵雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
907,2013年06月26日,雾/多云,29℃/22℃,无持续风向≤3级/无持续风向≤3级
908,2013年06月27日,多云/晴,34℃/23℃,无持续风向≤3级/无持续风向≤3级
909,2013年06月28日,多云/中到大雨,33℃/21℃,无持续风向≤3级/无持续风向≤3级
910,2013年06月29日,阴/阵雨,30℃/22℃,无持续风向≤3级/无持续风向≤3级
911,2013年06月30日,阵雨/雷阵雨,28℃/22℃,无持续风向≤3级/无持续风向≤3级
912,2013年07月01日,中雨/大雨,28℃/20℃,无持续风向≤3级/无持续风向≤3级
913,2013年07月02日,晴/晴,34℃/23℃,无持续风向≤3级/无持续风向≤3级
914,2013年07月03日,晴/多云,36℃/24℃,无持续风向≤3级/无持续风向≤3级
915,2013年07月04日,雷阵雨/阴,35℃/23℃,无持续风向≤3级/无持续风向≤3级
916,2013年07月05日,晴/晴,35℃/23℃,无持续风向≤3级/无持续风向≤3级
917,2013年07月06日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
918,2013年07月07日,雷阵雨/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
919,2013年07月08日,雷阵雨/大雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
920,2013年07月09日,大雨/小到中雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
921,2013年07月10日,阵雨/阵雨,27℃/21℃,无持续风向≤3级/无持续风向≤3级
922,2013年07月11日,阵雨/阴,27℃/22℃,无持续风向≤3级/无持续风向≤3级
923,2013年07月12日,多云/多云,31℃/22℃,无持续风向≤3级/无持续风向≤3级
924,2013年07月13日,多云/多云,30℃/24℃,无持续风向≤3级/无持续风向≤3级
925,2013年07月14日,阴/大雨,30℃/22℃,无持续风向≤3级/无持续风向≤3级
926,2013年07月15日,中到大雨/阵雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
927,2013年07月16日,晴/晴,34℃/21℃,无持续风向≤3级/无持续风向≤3级
928,2013年07月17日,多云/多云,33℃/23℃,无持续风向≤3级/无持续风向≤3级
929,2013年07月18日,雷阵雨/雷阵雨,28℃/22℃,无持续风向≤3级/无持续风向≤3级
930,2013年07月19日,阴/晴,30℃/23℃,无持续风向≤3级/无持续风向≤3级
931,2013年07月20日,雷阵雨/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
932,2013年07月21日,多云/多云,32℃/23℃,无持续风向≤3级/无持续风向≤3级
933,2013年07月22日,多云/阴,31℃/23℃,无持续风向≤3级/无持续风向≤3级
934,2013年07月23日,阴/晴,31℃/22℃,无持续风向≤3级/无持续风向≤3级
935,2013年07月24日,晴/晴,36℃/24℃,无持续风向≤3级/无持续风向≤3级
936,2013年07月25日,多云/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
937,2013年07月26日,中雨/阵雨,29℃/23℃,无持续风向≤3级/无持续风向≤3级
938,2013年07月27日,阵雨/阴,28℃/23℃,无持续风向≤3级/无持续风向≤3级
939,2013年07月28日,晴/晴,37℃/25℃,无持续风向≤3级/无持续风向≤3级
940,2013年07月29日,雷阵雨/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
941,2013年07月30日,雷阵雨/雷阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
942,2013年07月31日,雷阵雨/雷阵雨,28℃/22℃,无持续风向≤3级/无持续风向≤3级
943,2013年08月01日,雷阵雨/中雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
944,2013年08月02日,雷阵雨/雷阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
945,2013年08月03日,阴/阴,33℃/24℃,无持续风向≤3级/无持续风向≤3级
946,2013年08月04日,晴/雷阵雨,34℃/23℃,无持续风向≤3级/无持续风向≤3级
947,2013年08月05日,雷阵雨/雷阵雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
948,2013年08月06日,中雨/阴,29℃/23℃,无持续风向≤3级/无持续风向≤3级
949,2013年08月07日,多云/晴,34℃/24℃,无持续风向≤3级/无持续风向≤3级
950,2013年08月08日,晴/晴,36℃/24℃,无持续风向≤3级/无持续风向≤3级
951,2013年08月09日,晴/阴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
952,2013年08月10日,中雨/大雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
953,2013年08月11日,阵雨/多云,29℃/23℃,无持续风向≤3级/无持续风向≤3级
954,2013年08月12日,阴/多云,30℃/24℃,无持续风向≤3级/无持续风向≤3级
955,2013年08月13日,多云/多云,32℃/25℃,无持续风向≤3级/无持续风向≤3级
956,2013年08月14日,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
957,2013年08月15日,多云/雷阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
958,2013年08月16日,雷阵雨/雷阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
959,2013年08月17日,晴/晴,36℃/24℃,无持续风向≤3级/无持续风向≤3级
960,2013年08月18日,晴/晴,35℃/22℃,无持续风向≤3级/无持续风向≤3级
961,2013年08月19日,晴/晴,33℃/23℃,无持续风向≤3级/无持续风向≤3级
962,2013年08月20日,阴/阵雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
963,2013年08月21日,小雨/多云,29℃/22℃,无持续风向≤3级/无持续风向≤3级
964,2013年08月22日,阴/多云,29℃/22℃,无持续风向≤3级/无持续风向≤3级
965,2013年08月23日,多云/晴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
966,2013年08月24日,多云/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
967,2013年08月25日,晴/晴,34℃/21℃,无持续风向≤3级/无持续风向≤3级
968,2013年08月26日,晴/晴,35℃/22℃,无持续风向≤3级/无持续风向≤3级
969,2013年08月27日,小雨/中雨,28℃/22℃,无持续风向≤3级/无持续风向≤3级
970,2013年08月28日,小雨/阴,28℃/22℃,无持续风向≤3级/无持续风向≤3级
971,2013年08月29日,晴/多云,29℃/18℃,北风4-5级/北风3-4级
972,2013年08月30日,多云/晴,26℃/16℃,无持续风向≤3级/无持续风向≤3级
973,2013年08月31日,晴/晴,30℃/17℃,无持续风向≤3级/无持续风向≤3级
974,2013年09月01日,多云/阴,30℃/18℃,无持续风向≤3级/无持续风向≤3级
975,2013年09月02日,晴/晴,27℃/17℃,无持续风向≤3级/无持续风向≤3级
976,2013年09月03日,多云/雷阵雨,27℃/18℃,无持续风向≤3级/无持续风向≤3级
977,2013年09月04日,中雨/中雨,23℃/17℃,无持续风向≤3级/无持续风向≤3级
978,2013年09月05日,多云/雷阵雨,25℃/17℃,无持续风向≤3级/无持续风向≤3级
979,2013年09月06日,阴/多云,28℃/17℃,无持续风向≤3级/无持续风向≤3级
980,2013年09月07日,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
981,2013年09月08日,阴/雷阵雨,26℃/18℃,无持续风向≤3级/无持续风向≤3级
982,2013年09月09日,阵雨/雷阵雨,26℃/18℃,无持续风向≤3级/无持续风向≤3级
983,2013年09月10日,多云/晴,28℃/17℃,无持续风向≤3级/无持续风向≤3级
984,2013年09月11日,晴/多云,28℃/18℃,无持续风向≤3级/无持续风向≤3级
985,2013年09月12日,雷阵雨/雷阵雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
986,2013年09月13日,多云/雷阵雨,28℃/18℃,无持续风向≤3级/无持续风向≤3级
987,2013年09月14日,雾/晴,31℃/16℃,北风3-4级/无持续风向≤3级
988,2013年09月15日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
989,2013年09月16日,阴/阵雨,25℃/18℃,无持续风向≤3级/无持续风向≤3级
990,2013年09月17日,阵雨/中雨,24℃/18℃,无持续风向≤3级/无持续风向≤3级
991,2013年09月18日,小雨/阵雨,24℃/18℃,无持续风向≤3级/无持续风向≤3级
992,2013年09月19日,阵雨/多云,26℃/17℃,无持续风向≤3级/无持续风向≤3级
993,2013年09月20日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
994,2013年09月21日,晴/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
995,2013年09月22日,阴/阵雨,24℃/18℃,无持续风向≤3级/无持续风向≤3级
996,2013年09月23日,阴/多云,22℃/13℃,北风4-5级/无持续风向≤3级
997,2013年09月24日,多云/晴,22℃/11℃,北风3-4级/无持续风向≤3级
998,2013年09月25日,晴/晴,25℃/10℃,无持续风向≤3级/无持续风向≤3级
999,2013年09月26日,晴/晴,26℃/12℃,无持续风向≤3级/无持续风向≤3级
1000,2013年09月27日,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
1001,2013年09月28日,雾/阴,23℃/14℃,无持续风向≤3级/无持续风向≤3级
1002,2013年09月29日,霾/雾,22℃/15℃,无持续风向≤3级/无持续风向≤3级
1003,2013年09月30日,阴/阵雨,21℃/17℃,无持续风向≤3级/无持续风向≤3级
1004,2013年10月01日,小到中雨/晴,20℃/11℃,北风3-4级/北风3-4级
1005,2013年10月02日,晴/晴,24℃/10℃,无持续风向≤3级/无持续风向≤3级
1006,2013年10月03日,晴/晴,22℃/11℃,无持续风向≤3级/无持续风向≤3级
1007,2013年10月04日,晴/晴,24℃/13℃,无持续风向≤3级/无持续风向≤3级
1008,2013年10月05日,-/雾,23℃/13℃,无持续风向/无持续风向≤3级
1009,2013年10月06日,-/-,21℃/14℃,无持续风向/无持续风向
1010,2013年10月07日,多云/阵雨,24℃/13℃,无持续风向≤3级/无持续风向≤3级
1011,2013年10月08日,多云/晴,21℃/13℃,无持续风向≤3级/无持续风向≤3级
1012,2013年10月09日,多云/阴,24℃/14℃,无持续风向≤3级/无持续风向≤3级
1013,2013年10月10日,多云/晴,23℃/9℃,北风5-6级/北风3-4级
1014,2013年10月11日,晴/晴,23℃/11℃,无持续风向≤3级/无持续风向≤3级
1015,2013年10月12日,多云/阵雨,23℃/14℃,无持续风向≤3级/无持续风向≤3级
1016,2013年10月13日,小雨/小雨,19℃/12℃,无持续风向≤3级/无持续风向≤3级
1017,2013年10月14日,阴/多云,15℃/4℃,北风4-5级/北风3-4级
1018,2013年10月15日,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
1019,2013年10月16日,晴/晴,18℃/6℃,无持续风向≤3级/无持续风向≤3级
1020,2013年10月17日,晴/晴,20℃/7℃,无持续风向≤3级/无持续风向≤3级
1021,2013年10月18日,多云/阵雨,17℃/9℃,无持续风向≤3级/北风3-4级
1022,2013年10月19日,多云/晴,18℃/4℃,北风3-4级/北风3-4级
1023,2013年10月20日,晴/多云,19℃/7℃,无持续风向≤3级/无持续风向≤3级
1024,2013年10月21日,多云/多云,18℃/7℃,无持续风向≤3级/无持续风向≤3级
1025,2013年10月22日,阵雨/阴,16℃/5℃,北风3-4级/北风3-4级
1026,2013年10月23日,晴/晴,15℃/4℃,北风3-4级/北风3-4级
1027,2013年10月24日,晴/晴,16℃/4℃,北风3-4级/无持续风向≤3级
1028,2013年10月25日,晴/晴,18℃/4℃,无持续风向≤3级/无持续风向≤3级
1029,2013年10月26日,晴/晴,19℃/5℃,无持续风向≤3级/无持续风向≤3级
1030,2013年10月27日,晴/-,18℃/7℃,无持续风向≤3级/无持续风向
1031,2013年10月28日,霾/阵雨,16℃/7℃,无持续风向≤3级/无持续风向≤3级
1032,2013年10月29日,晴/晴,16℃/2℃,无持续风向≤3级/无持续风向≤3级
1033,2013年10月30日,晴/晴,17℃/4℃,无持续风向≤3级/无持续风向≤3级
1034,2013年10月31日,多云/霾,14℃/5℃,无持续风向≤3级/无持续风向≤3级
1035,2013年11月01日,霾/阴,12℃/5℃,无持续风向≤3级/无持续风向≤3级
1036,2013年11月02日,霾/霾,15℃/7℃,无持续风向≤3级/北风3-4级
1037,2013年11月03日,晴/晴,17℃/3℃,北风3-4级/无持续风向≤3级
1038,2013年11月04日,晴/阴,17℃/5℃,无持续风向≤3级/无持续风向≤3级
1039,2013年11月05日,多云/多云,16℃/5℃,无持续风向≤3级/无持续风向≤3级
1040,2013年11月06日,晴/晴,17℃/4℃,北风4-5级/北风4-5级
1041,2013年11月07日,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
1042,2013年11月08日,阴/多云,13℃/5℃,无持续风向≤3级/无持续风向≤3级
1043,2013年11月09日,霾/多云,16℃/1℃,北风5-6级/北风5-6级
1044,2013年11月10日,晴/晴,12℃/0℃,北风3-4级/无持续风向≤3级
1045,2013年11月11日,晴/晴,14℃/1℃,无持续风向≤3级/无持续风向≤3级
1046,2013年11月12日,晴/多云,14℃/1℃,无持续风向≤3级/无持续风向≤3级
1047,2013年11月13日,霾/霾,12℃/4℃,无持续风向≤3级/北风3-4级
1048,2013年11月14日,晴/晴,14℃/0℃,北风3-4级/无持续风向≤3级
1049,2013年11月15日,晴/阴,15℃/3℃,无持续风向≤3级/北风4-5级
1050,2013年11月16日,晴/晴,12℃/0℃,北风5-6级/北风4-5级
1051,2013年11月17日,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
1052,2013年11月18日,晴/晴,10℃/-2℃,北风3-4级/无持续风向≤3级
1053,2013年11月19日,晴/晴,10℃/-2℃,无持续风向≤3级/无持续风向≤3级
1054,2013年11月20日,晴/晴,10℃/-2℃,无持续风向≤3级/无持续风向≤3级
1055,2013年11月21日,晴/晴,11℃/-2℃,无持续风向≤3级/无持续风向≤3级
1056,2013年11月22日,晴/晴,12℃/-1℃,无持续风向≤3级/无持续风向≤3级
1057,2013年11月23日,晴/霾,12℃/2℃,无持续风向≤3级/无持续风向≤3级
1058,2013年11月24日,阴/晴,9℃/0℃,北风4-5级/北风4-5级
1059,2013年11月25日,晴/晴,8℃/-3℃,北风3-4级/无持续风向≤3级
1060,2013年11月26日,多云/晴,7℃/-5℃,北风4-5级/北风4-5级
